Titre;Réalisateur;Adresse;Organisme Demandeur;Type de tournage;Arrondissement;Date debut;Date fin;xy
10%/SAISON 2;JEANNE HERRY;PARVIS  DE LA BASILIQUE SAINTE CLOTILDE;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75007;2016-10-10;2016-10-10;
10%/SAISON 2;JEANNE HERRY;RUE  MARTIGNAC;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75007;2016-10-10;2016-10-10;48.857998, 2.31843
LA MANTE;ALEXANDRE LAURENT;18  RUE  VAUQUELIN;SEPTEMBRE PRODUCTIONS;SERIE TELEVISEE;75005;2016-10-11;2016-10-11;48.84093, 2.34698
ALICE NEVERS, LE JUGE EST UNE FEMME/84 ET 85;ERIC LE ROUX;RUE  EMILE ZOLA;EGO PRODUCTION;SERIE TELEVISEE;75015;2016-10-12;2016-10-12;48.846601, 2.28608
THE PACKAGE;CHANG KEUN CHUN;AVENUE  JOSEPH BOUVARD;BH PARIS MEDIA PRODUCTIONS;SERIE TELEVISEE;75007;2016-10-12;2016-10-12;48.854628, 2.30871
THE PACKAGE;CHANG KEUN CHUN;PONT  NEUF;BH PARIS MEDIA PRODUCTIONS;SERIE TELEVISEE;75001;2016-10-12;2016-10-12;48.860317, 2.344139
10%/SAISON 2;JEANNE HERRY;JARDIN*  DU TROCADERO;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75016;2016-10-13;2016-10-13;48.862548, 2.28222
10%/SAISON 2;JEANNE HERRY;RUE  DAVIOUD;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75016;2016-10-13;2016-10-13;48.855176, 2.270844
THE PACKAGE;CHANG KEUN CHUN;2/18  RUE  DE STEINKERQUE;BH PARIS MEDIA PRODUCTIONS;SERIE TELEVISEE;75018;2016-10-13;2016-10-13;48.884222, 2.343434
THE PACKAGE;CHANG KEUN CHUN;1/11  RUE  FOYATIER;BH PARIS MEDIA PRODUCTIONS;SERIE TELEVISEE;75018;2016-10-13;2016-10-13;48.885663, 2.342313
THE PACKAGE;CHANG KEUN CHUN;SQUARE  LOUISE MICHEL;BH PARIS MEDIA PRODUCTIONS;SERIE TELEVISEE;75018;2016-10-14;2016-10-14;
THE PACKAGE;CHANG KEUN CHUN;AVENUE  DES CHAMPS ELYSEES;BH PARIS MEDIA PRODUCTIONS;SERIE TELEVISEE;75008;2016-10-15;2016-10-15;48.871088, 2.303634
THE PACKAGE;CHANG KEUN CHUN;5/20  RUE  CHARLES RENOUVRIER;BH PARIS MEDIA PRODUCTIONS;SERIE TELEVISEE;75020;2016-10-19;2016-10-19;48.861559, 2.399801
THE PACKAGE;CHANG KEUN CHUN;1/12  VILLA  CRONSTADT;BH PARIS MEDIA PRODUCTIONS;SERIE TELEVISEE;75019;2016-10-19;2016-10-19;48.881048, 2.390815
THE PACKAGE;CHANG KEUN CHUN;1/12  VILLA  CLAUDE MONET;BH PARIS MEDIA PRODUCTIONS;SERIE TELEVISEE;75019;2016-10-19;2016-10-19;48.881557, 2.39017
THE PACKAGE;CHANG KEUN CHUN;AVENUE  GUSTAVE V DE SUEDE;BH PARIS MEDIA PRODUCTIONS;SERIE TELEVISEE;75016;2016-10-19;2016-10-19;
THE PACKAGE;CHANG KEUN CHUN;AVENUE  HUSSEIN 1ER JORDANIE;BH PARIS MEDIA PRODUCTIONS;SERIE TELEVISEE;75016;2016-10-19;2016-10-19;48.866469, 2.297067
THE PACKAGE;CHANG KEUN CHUN;AVENUE  JOSEPH BOUVARD;BH PARIS MEDIA PRODUCTIONS;SERIE TELEVISEE;75007;2016-10-21;2016-10-21;48.854628, 2.30871
LEBOWITZ CONTRE LEBOWITZ/9 A 12;CHRISTOPHE BARRAUD;163  QUAI  DE VALMY;CHABRAQUE PRODUCTIONS;SERIE TELEVISEE;75010;2016-10-27;2016-10-27;48.878784, 2.366268
LEBOWITZ CONTRE LEBOWITZ/9 A 12;CHRISTOPHE BARRAUD;29  RUE  CHAUDRON;CHABRAQUE PRODUCTIONS;SERIE TELEVISEE;75010;2016-10-27;2016-10-27;48.883661, 2.364481
MUNCH;NICOLAS GUICHETEAU;1  QUAI  AUX FLEURS;EXILENE FILMS;SERIE TELEVISEE;75004;2016-10-28;2016-10-28;48.852888, 2.352022
MUNCH;NICOLAS GUICHETEAU;5  RUE  DU DOME;EXILENE FILMS;SERIE TELEVISEE;75016;2016-10-29;2016-10-29;48.87137, 2.291415
ENGRENAGES SAISON 6/N° 7 A 12;FREDERIC MERMOUD;2  RUE  DU CLOITRE NOTRE DAME;SON ET LUMIERE;SERIE TELEVISEE;75004;2016-10-31;2016-10-31;48.852751, 2.351975
ENGRENAGES SAISON 6/N° 7 A 12;FREDERIC MERMOUD;PALAIS*  DE JUSTICE;SON ET LUMIERE;SERIE TELEVISEE;75001;2016-11-02;2016-11-02;48.862388, 2.337206
MUNCH;NICOLAS GUICHETEAU;16  PLACE  DENFERT ROCHEREAU;EXILENE FILMS;SERIE TELEVISEE;75014;2016-11-02;2016-11-10;48.834046, 2.330544
LA LICORNE;AVRIL BESSON;AVENUE  JUNOT;DELANTE FILMS;SERIE TELEVISEE;75018;2016-11-02;2016-11-02;48.888192, 2.336122
LA LICORNE;AVRIL BESSON;AVENUE  CAULAINCOURT;DELANTE FILMS;SERIE TELEVISEE;75018;2016-11-02;2016-11-02;48.889415, 2.335958
LA LICORNE;AVRIL BESSON;RUE  JEAN FRANCOIS LEPINE;DELANTE FILMS;SERIE TELEVISEE;75018;2016-11-02;2016-11-02;48.886176, 2.358258
ENGRENAGES SAISON 6/N° 7 A 12;FREDERIC MERMOUD;10  RUE  FROMENTIN;SON ET LUMIERE;SERIE TELEVISEE;75009;2016-11-04;2016-11-04;48.882596, 2.334763
LEBOWITZ CONTRE LEBOWITZ/9 A 12;CHRISTOPHE BARRAUD;RUE  NOBEL;CHABRAQUE PRODUCTIONS;SERIE TELEVISEE;75018;2016-11-04;2016-11-04;48.890129, 2.341439
JUSTE UN REGARD;LUDOVIC COLBEAU;21  RUE  DU RETRAIT;VAB;SERIE TELEVISEE;75020;2016-11-04;2016-11-04;48.868426, 2.39429
ENGRENAGES SAISON 6/N° 7 A 12;FREDERIC MERMOUD;MAIRIE  DU 10EME ARRONDISSEMENT;SON ET LUMIERE;SERIE TELEVISEE;75010;2016-11-07;2016-11-07;
THE WAY;CAMILLE DELAMARRE;RUE  ET SQUARE DE L'ALBONI;EMPREINTE DIGITALE;SERIE TELEVISEE;75016;2016-11-09;2016-11-09;48.857775, 2.286463
LA MANTE;ALEXANDRE LAURENT;PONT  DE LA GARE;SEPTEMBRE PRODUCTIONS;SERIE TELEVISEE;75013;2016-11-14;2016-11-14;48.832638, 2.344404
LE BUREAU DES LEGENDES/SAISON 2;ERIC ROCHANT;BOIS*  DE BOULOGNE;THE OLIGARCHS PRODUCTIONS;SERIE TELEVISEE;75016;2016-11-17;2016-11-17;48.875133, 2.286885
ENGRENAGES SAISON 6/N° 7 A 12;FREDERIC MERMOUD;RUE  DU COLONEL ROZANOFF;SON ET LUMIERE;SERIE TELEVISEE;75012;2016-11-18;2016-11-18;48.845392, 2.387847
ENGRENAGES SAISON 6/N° 7 A 12;FREDERIC MERMOUD;RUE  EUGENIE EBOUE;SON ET LUMIERE;SERIE TELEVISEE;75012;2016-11-21;2016-11-21;48.845651, 2.386083
JUSTE UN REGARD;LUDOVIC COLBEAU;RUE  DE MAUBEUGE;VAB;SERIE TELEVISEE;75010;2016-11-23;2016-11-23;48.880795, 2.352647
JUSTE UN REGARD;LUDOVIC COLBEAU;PLACE  NAPOLEON III;VAB;SERIE TELEVISEE;75010;2016-11-23;2016-11-23;
MUNCH;NICOLAS GUICHETEAU;RUE  DE LA SANTE;EXILENE FILMS;SERIE TELEVISEE;75014;2016-11-25;2016-11-25;48.832616, 2.341067
JUSTE UN REGARD;LUDOVIC COLBEAU;2  RUE  DE TURGOT;VAB;SERIE TELEVISEE;75009;2016-11-25;2016-11-25;48.879892, 2.345636
LE BUREAU DES LEGENDES/SAISON 2;ERIC ROCHANT;141  BOULEVARD  MORTIER;THE OLIGARCHS PRODUCTIONS;SERIE TELEVISEE;75020;2016-11-26;2016-11-26;48.873996, 2.408085
ALICE NEVERS LE JUGE EST UNE FEMME/86 ET 87;CHRISTOPHE DELPIAS;42  RUE  DES PETITES ECURIES;EGO PRODUCTION;SERIE TELEVISEE;75010;2016-11-30;2016-11-30;48.873921, 2.350107
THE AFFAIR;JEFFREY REINER;RUE  DE BUCI/RUE DE SEINE;GEM FILMS;SERIE TELEVISEE;75006;2016-12-02;2016-12-02;48.853779, 2.336851
THE AFFAIR;JEFFREY REINER;RUE  DES BARRES;GEM FILMS;SERIE TELEVISEE;75004;2016-12-06;2016-12-06;48.855335, 2.355315
THE AFFAIR;JEFFREY REINER;89  RUE  DE L'HOTEL DE VILLE;GEM FILMS;SERIE TELEVISEE;75004;2016-12-06;2016-12-06;48.854714, 2.354821
THE AFFAIR;JEFFREY REINER;PLACE  DE MEXICO;GEM FILMS;SERIE TELEVISEE;75016;2016-12-08;2016-12-08;48.86563, 2.283084
THE AFFAIR;JEFFREY REINER;PLACE  DE MEXICO;GEM FILMS;SERIE TELEVISEE;75016;2016-12-09;2016-12-09;48.86563, 2.283084
LIANG SHENG;LIU CHUN-CHIEN;RUE  DE L'ABBAYE;KANZAMAN FRANCE;SERIE TELEVISEE;75006;2016-12-11;2016-12-11;48.854241, 2.334903
ENGRENAGES SAISON 6/N° 7 A 12;FREDERIC MERMOUD;18  RUE  YVES TOUDIC;SON ET LUMIERE;SERIE TELEVISEE;75010;2016-12-12;2016-12-12;48.869827, 2.363964
THE AFFAIR;JEFFREY REINER;4  RUE  DES BELLES FEUILLES;GEM FILMS;SERIE TELEVISEE;75016;2016-12-12;2016-12-12;48.865872, 2.283046
LIANG SHENG;LIU CHUN-CHIEN;RUE  MAZARINE;KANZAMAN FRANCE;SERIE TELEVISEE;75006;2016-12-12;2016-12-12;48.854893, 2.337826
MUNCH;NICOLAS GUICHETEAU;RUE  DES FRIGOS;EXILENE FILMS;SERIE TELEVISEE;75013;2016-12-13;2016-12-13;48.830857, 2.379928
THE AFFAIR;JEFFREY REINER;27  RUE  DE BOURGOGNE;GEM FILMS;SERIE TELEVISEE;75007;2016-12-13;2016-12-13;48.858167, 2.317776
LIANG SHENG;LIU CHUN-CHIEN;RUE  DU TRESOR;KANZAMAN FRANCE;SERIE TELEVISEE;75004;2016-12-13;2016-12-13;48.857112, 2.357911
LIANG SHENG;LIU CHUN-CHIEN;PONT  D'IENA;KANZAMAN FRANCE;SERIE TELEVISEE;75007;2016-12-14;2016-12-14;48.859131, 2.302145
LIANG SHENG;LIU CHUN-CHIEN;AVENUE  DE NEW YORK;KANZAMAN FRANCE;SERIE TELEVISEE;75016;2016-12-14;2016-12-14;48.862712, 2.293955
LIANG SHENG;LIU CHUN-CHIEN;PLACE  DE VARSOVIE;KANZAMAN FRANCE;SERIE TELEVISEE;75016;2016-12-14;2016-12-14;48.85445, 2.275562
LIANG SHENG;LIU CHUN-CHIEN;PONT  D'IENA;KANZAMAN FRANCE;SERIE TELEVISEE;75016;2016-12-14;2016-12-14;48.864589, 2.294048
LIANG SHENG;LIU CHUN-CHIEN;SQUARE  LOUISE MICHEL;KANZAMAN FRANCE;SERIE TELEVISEE;75018;2016-12-15;2016-12-15;
CHRONIQUES PARISIENNES;ZABOU BREITMAN;24  RUE  DE SEVRES;LES FILMS DU KIOSQUE;SERIE TELEVISEE;75007;2016-12-29;2016-12-29;48.850563, 2.324704
NOIR ENIGMA;MANUEL BOURSINHAC;58  BOULEVARD  PICPUS;ASTHARTE ET COMPAGNIE;SERIE TELEVISEE;75012;2016-01-05;2016-01-05;48.844031, 2.40222
NOIR ENIGMA;MANUEL BOURSINHAC;JARDIN*  DEBERGUE RENDEZ VOUS;ASTHARTE ET COMPAGNIE;SERIE TELEVISEE;75012;2016-01-05;2016-01-05;48.845994, 2.402312
NOIR ENIGMA;MANUEL BOURSINHAC;RUE  GEORGES VILLE;ASTHARTE ET COMPAGNIE;SERIE TELEVISEE;75016;2016-01-06;2016-01-06;48.870269, 2.288971
ALICE NEVERS, LE JUGE EST UNE FEMME/N°78 ET 79;J.CHRISTOPHE DELPIAS;42/50  RUE  DES PETITES ECURIES;EGO PRODUCTION;SERIE TELEVISEE;75010;2016-01-07;2016-01-07;48.873982, 2.34916
NOIR ENIGMA;MANUEL BOURSINHAC;PLACE  DE L'ESTRAPADE;ASTHARTE ET COMPAGNIE;SERIE TELEVISEE;75005;2016-01-08;2016-01-09;48.845058, 2.345069
NOIR ENIGMA;MANUEL BOURSINHAC;RUE  DES FOSSES ST JACQUES;ASTHARTE ET COMPAGNIE;SERIE TELEVISEE;75005;2016-01-08;2016-01-09;48.845593, 2.34415
10%/SAISON 2;JEANNE HERRY;RUE  DE NAVARIN;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75009;2016-09-29;2016-09-29;48.879656, 2.338558
10%/SAISON 2;JEANNE HERRY;RUE  NOTRE DAME DE LORETTE;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75009;2016-09-29;2016-09-29;48.878746, 2.337269
10%/SAISON 2;JEANNE HERRY;RUE  DU CAPITAINE FERBER;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75020;2016-09-30;2016-09-30;48.866612, 2.406785
ALICE NEVERS, LE JUGE EST UNE FEMME/84 ET 85;ERIC LE ROUX;QUAI  DES ORFEVRES;EGO PRODUCTION;SERIE TELEVISEE;75001;2016-09-30;2016-09-30;48.856182, 2.342193
CHRONIQUES PARISIENNES;ZABOU BREITMAN;PARVIS  DE L'HOTEL DE VILLE;LES FILMS DU KIOSQUE;SERIE TELEVISEE;75004;2016-10-01;2016-10-01;48.854714, 2.354821
CHRONIQUES PARISIENNES;ZABOU BREITMAN;40  RUE  DE LA VERRERIE;LES FILMS DU KIOSQUE;SERIE TELEVISEE;75004;2016-10-01;2016-10-01;48.857861, 2.353417
CHRONIQUES PARISIENNES;ZABOU BREITMAN;2  BOULEVARD  DU PALAIS;LES FILMS DU KIOSQUE;SERIE TELEVISEE;75001;2016-10-01;2016-10-01;48.856076, 2.346145
CHRONIQUES PARISIENNES;ZABOU BREITMAN;QUAI  DE CONTI;LES FILMS DU KIOSQUE;SERIE TELEVISEE;75001;2016-10-01;2016-10-01;48.85694, 2.342827
CHRONIQUES PARISIENNES;ZABOU BREITMAN;SQUARE  DU VERT GALANT;LES FILMS DU KIOSQUE;SERIE TELEVISEE;75001;2016-10-01;2016-10-01;
CHRONIQUES PARISIENNES;ZABOU BREITMAN;59/61  QUAI  D'ORSAY;LES FILMS DU KIOSQUE;SERIE TELEVISEE;75007;2016-10-01;2016-10-01;48.862275, 2.307205
CHRONIQUES PARISIENNES;ZABOU BREITMAN;PONT  ALEXANDRE III;LES FILMS DU KIOSQUE;SERIE TELEVISEE;75007;2016-10-01;2016-10-01;
ENGRENAGES SAISON 6/N° 7 A 12;FREDERIC MERMOUD;1/3  RUE  HENRI RIBIERE;SON ET LUMIERE;SERIE TELEVISEE;75019;2016-10-04;2016-10-04;48.876358, 2.395117
LEO MATTEI/14 ET 15;NICOLAS HERDT;1  PARVIS  DE NOTRE DAME (HOTEL DIEU);LGM CINEMA;SERIE TELEVISEE;75004;2016-10-04;2016-10-04;
10%/SAISON 2;JEANNE HERRY;45  BOULEVARD  BEAUSEJOUR;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75016;2016-10-06;2016-10-06;48.857016, 2.268199
LEO MATTEI/14 ET 15;NICOLAS HERDT;3  BOULEVARD  MORLAND;LGM CINEMA;SERIE TELEVISEE;75004;2016-10-06;2016-10-06;48.847709, 2.364989
LEO MATTEI/14 ET 15;NICOLAS HERDT;PARC  DE BERCY;LGM CINEMA;SERIE TELEVISEE;75012;2016-10-07;2016-10-07;48.836091, 2.380547
10%/SAISON 2;JEANNE HERRY;RUE  LAS CASES;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75007;2016-10-10;2016-10-10;48.85846, 2.320617
ALICE NEVERS, LE JUGE EST UNE FEMME/84 ET 85;ERIC LE ROUX;RUE  CAUCHY;EGO PRODUCTION;SERIE TELEVISEE;75015;2016-10-12;2016-10-12;48.842493, 2.277295
ALICE NEVERS, LE JUGE EST UNE FEMME/84 ET 85;ERIC LE ROUX;PARC  ANDRE CITROEN;EGO PRODUCTION;SERIE TELEVISEE;75015;2016-10-12;2016-10-12;48.847304, 2.279404
THE PACKAGE;CHANG KEUN CHUN;PARC  DU CHAMP DE MARS;BH PARIS MEDIA PRODUCTIONS;SERIE TELEVISEE;75007;2016-10-12;2016-10-12;48.854395, 2.304772
THE PACKAGE;CHANG KEUN CHUN;AVENUE  GUSTAVE EIFFEL;BH PARIS MEDIA PRODUCTIONS;SERIE TELEVISEE;75007;2016-10-12;2016-10-12;48.857581, 2.294681
10%/SAISON 2;JEANNE HERRY;9  RUE  DE LA TASSE;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75016;2016-10-13;2016-10-13;48.860293, 2.286092
10%/SAISON 2;JEANNE HERRY;AVENUE  MOZART;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75016;2016-10-13;2016-10-13;48.853994, 2.269154
THE PACKAGE;CHANG KEUN CHUN;PLACE  SUZANNE VALADON;BH PARIS MEDIA PRODUCTIONS;SERIE TELEVISEE;75018;2016-10-13;2016-10-13;
THE PACKAGE;CHANG KEUN CHUN;11/19  BOULEVARD  DE CLICHY;BH PARIS MEDIA PRODUCTIONS;SERIE TELEVISEE;75018;2016-10-13;2016-10-13;48.883667, 2.333761
THE PACKAGE;CHANG KEUN CHUN;PLACE  SAINT PIERRE;BH PARIS MEDIA PRODUCTIONS;SERIE TELEVISEE;75018;2016-10-14;2016-10-14;48.884326, 2.343816
THE PACKAGE;CHANG KEUN CHUN;PLACE  SUZANNE VALADON;BH PARIS MEDIA PRODUCTIONS;SERIE TELEVISEE;75018;2016-10-14;2016-10-14;
THE PACKAGE;CHANG KEUN CHUN;34/38  RUE  DU CHEVALIER DE LA BARRE;BH PARIS MEDIA PRODUCTIONS;SERIE TELEVISEE;75018;2016-10-14;2016-10-14;48.887303, 2.344012
10%/SAISON 2;JEANNE HERRY;99  AVENUE  DES CHAMPS ELYSEES;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75008;2016-10-17;2016-10-18;48.871794, 2.301116
THE PACKAGE;CHANG KEUN CHUN;PLACE  DU TROCADERO ET DU 11 NOVEMBRE;BH PARIS MEDIA PRODUCTIONS;SERIE TELEVISEE;75016;2016-10-19;2016-10-19;48.862578, 2.287377
THE PACKAGE;CHANG KEUN CHUN;AVENUE  DE VARSOVIE;BH PARIS MEDIA PRODUCTIONS;SERIE TELEVISEE;75016;2016-10-19;2016-10-19;48.842908, 2.268942
THE PACKAGE;CHANG KEUN CHUN;10/12  BOULEVARD  SAINT MICHEL;BH PARIS MEDIA PRODUCTIONS;SERIE TELEVISEE;75005;2016-10-21;2016-10-21;48.847074, 2.340926
LEBOWITZ CONTRE LEBOWITZ/9 A 12;CHRISTOPHE BARRAUD;4  BOULEVARD  DU PALAIS;CHABRAQUE PRODUCTIONS;SERIE TELEVISEE;75004;2016-10-24;2016-10-24;48.854852, 2.345722
ENGRENAGES SAISON 6/N° 7 A 12;FREDERIC MERMOUD;23/25  AVENUE  FRANKLIN ROOSEVELT;SON ET LUMIERE;SERIE TELEVISEE;75008;2016-11-01;2016-11-01;48.867086, 2.309987
LEBOWITZ CONTRE LEBOWITZ/9 A 12;CHRISTOPHE BARRAUD;17  RUE  SAINT BERNARD;CHABRAQUE PRODUCTIONS;SERIE TELEVISEE;75011;2016-11-02;2016-11-02;48.851677, 2.381567
JUSTE UN REGARD;LUDOVIC COLBEAU;25  RUE  LAURENCE SAVART;VAB;SERIE TELEVISEE;75020;2016-11-04;2016-11-04;48.868242, 2.393778
LEBOWITZ CONTRE LEBOWITZ/9 A 12;CHRISTOPHE BARRAUD;17  BOULEVARD  SAINT MARCEL;CHABRAQUE PRODUCTIONS;SERIE TELEVISEE;75013;2016-11-09;2016-11-09;48.839043, 2.359614
THE WAY;CAMILLE DELAMARRE;PONT  BIR HAKEIM;EMPREINTE DIGITALE;SERIE TELEVISEE;75015;2016-11-09;2016-11-09;48.854649, 2.288998
JUSTE UN REGARD;LUDOVIC COLBEAU;PLACE  SAINT PIERRE;VAB;SERIE TELEVISEE;75018;2016-11-10;2016-11-10;48.884326, 2.343816
LE BUREAU DES LEGENDES/SAISON 2;ERIC ROCHANT;GYMNASE  JAPY;THE OLIGARCHS PRODUCTIONS;SERIE TELEVISEE;75011;2016-11-11;2016-11-11;48.855874, 2.38245
LE BUREAU DES LEGENDES/SAISON 2;ERIC ROCHANT;2  RUE  LAMBALLE;THE OLIGARCHS PRODUCTIONS;SERIE TELEVISEE;75016;2016-11-15;2016-11-16;48.854629, 2.283026
ENGRENAGES SAISON 6/N° 7 A 12;FREDERIC MERMOUD;ALLEE  VIVALDI;SON ET LUMIERE;SERIE TELEVISEE;75012;2016-11-18;2016-11-18;48.84165, 2.39109
LE BUREAU DES LEGENDES/SAISON 2;ERIC ROCHANT;4  AVENUE  RICHERAND/CENTRE NATIONAL DE SANTE;THE OLIGARCHS PRODUCTIONS;SERIE TELEVISEE;75010;2016-11-19;2016-11-19;48.871779, 2.365692
